year,eu_recycling_rate_pct_popweighted,eu_recycling_rate_pct_mean
2010,80.73937965515857,81.0551724137931
2011,84.44042306054804,83.70689655172414
2012,81.5329357099654,81.88000000000001
2013,82.79203609961898,81.87666666666668
2014,81.52389527783639,83.66451612903225
2015,80.15584902965222,81.6741935483871
2016,83.57520201536323,84.38000000000001
2017,83.92264257577322,83.63666666666667
2018,83.08244602837891,83.19615384615385
2019,67.63913793980993,64.12
2020,68.57614129197253,73.96666666666667
